Company,HQ,LinkedIn URL,Company URL,Employees,Followers,Tags,Short Description,Long Description
Paper,Montreal,https://linkedin.com/company/paperlearning/,https://paper.co/,51-200,126k,EdTech,High-impact tutoring that preserves instructional continuity.,Paper provides high-impact tutoring that reinforces classroom instruction through consistent tutors and aligned content; founded in Montreal in 2014.
Benevity,Calgary,https://linkedin.com/company/benevity/,https://benevity.com/,501-1k,61k,Social Impact,Helping the world's top brands create social impact.,"Benevity is an enterprise impact platform powering corporate giving, volunteering, grants, and employee engagement programs."
Symend,Calgary,https://linkedin.com/company/symend/,https://symend.com/,51-200,17k,"Fintech, AI",Power smarter debt recovery with AI and behavioral science.,"Symend helps enterprises in financial services, telecom, and utilities maximize collections using applied behavioral science and AI."
Solink,Ottawa,https://linkedin.com/company/solink/,https://solink.com/,201-500,13k,Security,See more. Know more. Do more. AI-driven video intelligence.,"Solink is a leader in AI-driven video intelligence for security, loss prevention, and operations, connecting video and operational data in one platform."
Ross Video,Iroquois,https://linkedin.com/company/rossvideo/,https://rossvideo.com/,1k-5k,58k,Media,The most trusted name in live production.,"Ross Video powers live productions for billions of viewers with broadcast and live video production solutions for broadcasters, stadiums, and corporations."
Tailscale,Toronto,https://linkedin.com/company/tailscale/,https://tailscale.com/,201-500,37k,"Networking, Security","Simple, secure networks for teams of any scale. Built on WireGuard.","Tailscale provides identity-first secure private networking built on WireGuard, replacing traditional VPNs with zero-trust connectivity across cloud and on-prem infrastructure."
Sanctuary AI,Vancouver,https://linkedin.com/company/sanctuaryai/,https://sanctuary.ai/,51-200,35k,"Robotics, AI",Creating human-like intelligence in general-purpose robots.,"Sanctuary AI develops human-like intelligence in general-purpose humanoid robots; its founding team includes veterans from D-Wave, Kindred, and the Creative Destruction Lab."
Aspect Biosystems,Vancouver,https://linkedin.com/company/aspect-biosystems/,https://aspectbiosystems.com/,51-200,28k,Biotech,Bioprinted tissue therapeutics to transform how we treat disease.,Aspect Biosystems pioneers bioengineered cellular medicines via a full-stack tissue therapeutic platform integrating AI-powered bioprinting and therapeutic cells.
Docebo,Toronto,https://linkedin.com/company/docebo/,https://docebo.com/,501-1k,129k,"EdTech, AI","The learning platform that's hyper-flexible, ROI-proven, AI-first, and learner-loved.","Docebo is an AI-powered enterprise learning platform used by 3,900+ organizations to train employees, customers, and partners from one centralized system."
KOHO,Toronto,https://linkedin.com/company/koho/,https://koho.ca/,201-500,52k,Fintech,Giving Canadians the tools and knowledge to make their money grow.,"KOHO is a Canadian fintech offering spending, saving, borrowing, and credit-building through a single app with a Mastercard, serving over 1.7 million users."
Faire,Waterloo/San Francisco,https://linkedin.com/company/fairewholesale/,https://faire.com/,1k-5k,79k,Ecommerce,The future is local.,"Faire is a wholesale technology platform and online marketplace connecting independent retailers with brands; founded in Waterloo, now HQ'd in San Francisco."
Arctic Wolf,Waterloo/Eden Prairie,https://linkedin.com/company/arctic-wolf-networks/,https://arcticwolf.com/,1k-5k,143k,Security,End Cyber Risk.,"Arctic Wolf is a market leader in security operations, delivering MDR, managed risk, security awareness, and incident response; US-headquartered with one of its largest offices in Waterloo."
Later,Vancouver/Boston,https://linkedin.com/company/latergram-me/,https://later.com/,201-500,65k,"Marketing, Creators",Influencer marketing for tastemakers and culture shapers.,"Later is a social media management and influencer marketing platform that helps brands plan and schedule posts and run creator campaigns; founded in Vancouver (Latergramme), now merged with Mavrck."
Bench,Vancouver/San Francisco,https://linkedin.com/company/benchaccounting/,https://bench.co/,201-500,22k,Fintech,"Your one-stop, affordable solution for small business finances.","Bench provides bookkeeping and tax services for small businesses via software plus human bookkeepers; founded in Vancouver, it shut down in Dec 2024 and was acquired, now operating as Bench by Mainstreet."
opencode,Toronto/San Francisco,https://linkedin.com/company/opencode-co/,https://opencode.ai/,2-10,5k,"AI, Developer Tools",Open-source terminal-based AI coding agent.,"opencode is an open-source AI coding agent for the terminal supporting multiple LLM providers, built by the team behind SST (Serverless Stack)."
